ADN	ad
archiviste	aʁ.ʃi.ˈvist
archéologie	aʁ.keɔ.lɔ.ˈʒi
archéologique	aʁ.keɔ.lo.ˈʒik
archéologue	aʁ.keɔ.ˈlɔg
arctique	aʁk.ˈtik
ardant	aʁ.ˈdã
ardeur	aʁ.ˈdœʁ
are	aʁ
argent	aʁʒ
argentin	aʁ.ʒã.ˈtɛ̃
argile	aʁ.ˈʒil
argon	aʁ.ˈgõ
argument	aʁ.ˈgym
aria	a.ˈʁja
aristo	a.ʁi.ˈsto
aristocrate	a.ʁi.sto.ˈkʁat
aristocratie	a.ʁi.sto.kʁa.ˈsi
aristocratique	a.ʁi.sto.kʁa.ˈtik
arithmétique	a.ʁit.mɛ.ˈtik
arlequin	aʁ.lə.ˈkɛ̃
arme	aʁm
armer	aʁ.ˈme
armoire	aʁ.ˈmwaʁ
armure	aʁ.ˈmyʁ
armée	aʁ.ˈme
armée militaire	aʁ.me.mi.li.ˈtɛʁ
arménien	aʁ.me.ˈni
arnica	aʁ.ni.ˈka
aromatique	a.ʁo.ma.ˈtik
aronde	a.ˈʁõd
arracher	a.ʁa.ˈʃe
arrangement	a.ʁã.ˈʒəm
arranger	a.ʁã.ˈʒe
arrestation	a.ʁɛ.sta.ˈsjõ
arrimer	a.ʁi.ˈme
arrimeur	a.ʁi.ˈmœʁ
arrivage	a.ʁi.ˈvaʒ
arriver	a.ʁi.ˈve
arriver en flottant	a.ʁi.ve.flɔ.ˈtã
arrivée	a.ʁi.ˈve
arrière	a.ˈʁjɛʁ
arrogant	a.ʁo.ˈgã
arrondir	a.ʁõ.ˈdiʁ
arrondissement	a.ʁõ.di.ˈsəm
arroser	a.ʁo.ˈze
arrosoir	a.ʁoz.ˈwaʁ
arrêt	a.ˈʁɛ
arrêter	a.ʁɛ.ˈte
arsenal	aʁ.sə.ˈnal
arsenic	aʁ.sə.ˈnik
art	aʁ
arthrite	aʁ.ˈtʁit
artichaut	aʁ.ti.ˈʃo
article	aʁ.ˈtikl
articulation	aʁ.ti.ky.la.ˈsjõ
artifice	aʁ.ti.ˈfis
artificiel	aʁ.ti.fi.ˈsjɛl
artificieux	aʁ.ti.fi.ˈsjø
artillerie	aʁ.ti.jə.ˈʁi
artilleur	aʁ.ˈtjœʁ
artisan	aʁ.ti.ˈzã
artiste	aʁ.ˈtist
artériosclérose	aʁ.te.ʁjo.skle.ˈʁoz
artésien	aʁ.te.ˈzi
artère	aʁ.ˈtɛʁ
arum	a.ˈʁɔm
aryen	aʁj
arène	a.ˈʁɛn
arête	a.ˈʁɛt
arôme	a.ˈʁom
as	a
asbeste	as.ˈbɛst
ascenseur	a.sã.ˈsœʁ
asile	a.ˈzil
aspect	a.ˈspɛ
asperge	a.ˈspɛʁʒ
asphalte	a.ˈsfalt
asphalter	a.sfal.ˈte
asphodèle	a.sfo.ˈdɛl
aspirateur	a.spi.ʁa.ˈtœʁ
aspirer	a.spi.ˈʁe
aspirer à	a.spi.ˈʁea
aspirine	a.spi.ˈʁin
assaillir	a.sa.ˈjiʁ
assainir	a.sɛ.ˈniʁ
assaisonner	a.sɛ.zɔ.ˈne
assassiner	a.sa.si.ˈne
assaut	a.ˈso
assembler	a.sã.ˈble
assemblée	a.sã.ˈble
assemblée politique	a.sã.ble.pɔ.li.ˈtik
asseoir	a.ˈswaʁ
assertion	a.sɛʁ.ˈtjõ
assez	a.ˈse
assidu	a.si.ˈdy
assiette	a.ˈsjɛt
assigner	a.si.ˈnje
assimilation	a.si.mi.la.ˈsjõ
assimiler	a.si.mi.ˈle
assister	a.si.ˈste
assister à	a.si.ˈstea
assièger	a.sjɛ.ˈʒe
association	a.so.sja.ˈsjõ
associer	a.so.ˈsje
assoupir	a.su.ˈpiʁ
assurance	a.sy.ˈʁãs
assurer	a.sy.ˈʁe
assureur	a.sy.ˈʁœʁ
assuré	a.sy.ˈʁe
assurément	a.sy.ˈʁem
assyrien	as.sɛ̃.ˈʁi
aster	a.ˈste
asthmatique	a.sma.ˈtik
asthme	asm
astral	a.ˈstʁal
astre	astʁ
astrologie	a.stʁɔ.lo.ˈʒi
astrologue	a.stʁɔ.ˈlɔg
astronaute	a.stʁo.ˈnot
astronome	a.stʁo.ˈnɔm
astronomie	a.stʁo.no.ˈmi
astronomique	a.stʁo.nɔ.ˈmik
astucieux	a.sty.ˈsjø
astérisque	a.ste.ˈʁisk
astéroïde	a.ste.ˈʁoid
asymétrique	a.si.me.ˈtʁik
atavisme	a.ta.ˈvism
atelier	a.tə.ˈlje
athlétique	at.lɛ.ˈtik
athlétisme	at.lɛ.ˈtism
athlète	at.ˈlɛt
athée	a.ˈte
athéisme	a.ˈteism
athénien	a.te.ˈni
atlantique	at.lã.ˈtik
atmosphère	at.mo.ˈsfɛʁ
atmosphèrique	at.mo.sfɛ.ˈʁik
atoll	a.ˈtɔl
atome	a.ˈtom
atomique	a.to.ˈmik
atout	a.ˈtu
atroce	a.ˈtʁɔs
atrocité	a.tʁɔ.si.ˈte
atrophie	a.tʁo.ˈfi
attachant	a.ta.ˈʃã
attachement	a.ta.ˈʃəm
attacher	a.ta.ˈʃe
attaché	a.ta.ˈʃe
attaquant	a.ta.ˈkã
attaque	a.ˈtak
attaquer	a.ta.ˈke
atteindre	a.ˈtɛ̃dʁ
atteler	a.tə.ˈle
attendre	a.ˈtãdʁ
attendrissant	a.tã.dʁi.ˈsã
attendu que	a.tã.dy.ˈkə
attentat	a.tã.ˈta
attente	a.ˈtãt
attenter	a.tã.ˈte
attentif	a.tã.ˈtif
attention	a.tã.ˈtjõ
attentivement	a.tã.ˈtivm
atterrir	a.tɛ.ˈʁiʁ
attester	a.tɛ.ˈste
attirant	a.ti.ˈʁã
attirer	a.ti.ˈʁe
attitude	a.ti.ˈtyd
attraper	a.tʁa.ˈpe
attrayant	a.tʁɛ.ˈjã
attribuer	a.tʁi.ˈbye
attribut	a.tʁi.ˈby
attrister	a.tʁi.ˈste
au	o
aubade	o.ˈbad
aube	ob
auberge	o.ˈbɛʁʒ
aubergiste	o.bɛʁ.ˈʒist
audace	o.ˈdas
audacieux	o.da.ˈsjø
audience	o.ˈdjãs
auditeur	o.di.ˈtœʁ
auditoire	o.di.ˈtwaʁ
auditorium	o.di.to.ˈʁiɔm
auge	oʒ
augmenter	og.mã.ˈte
augure	o.ˈgyʁ
augurer	o.gy.ˈʁe
aujourd'hui	o.ʒuʁ.ˈdɥi
aulne	oln
aumône	o.ˈmon
aumônier	o.mo.ˈnje
auparavant	o.pa.ʁa.ˈvã
auprès	o.ˈpʁɛ
auquel	o.ˈkɛl
aura	o.ˈʁa
aurochs	o.ˈʁoʃ
aurore	o.ˈʁɔʁ
auréole	o.ˈʁeɔl
aussi	o.ˈsi
aussitôt	o.si.ˈto
austral	o.ˈstʁal
australien	o.stʁa.ˈli
austérité	o.ste.ʁi.ˈte
austère	o.ˈstɛʁ
autant	o.ˈtã
autarcie	o.taʁ.ˈsi
autel	o.ˈtɛl
auteur	o.ˈtœʁ
authentique	o.tã.ˈtik
autisme	o.ˈtism
autistique	o.ti.ˈstik
auto	o.ˈto
autobiographie	o.tɔ.bjɔ.gʁa.ˈfi
autobiographique	o.tɔ.bjɔ.gʁa.ˈfik
autobus	o.tɔ.ˈbys
autochtone	o.tɔk.ˈtɔn
autocrate	o.to.ˈkʁat
autocratie	o.to.kʁa.ˈsi
autocratique	o.to.kʁa.ˈtik
autodidacte	o.to.di.ˈdakt
autogène	o.to.ˈʒɛn
automate	o.to.ˈmat
automatique	o.to.ma.ˈtik
automatiquement	o.to.ma.ti.ˈkəm
automatiser	o.to.ma.ti.ˈze
automnal	o.tɔ.ˈnal
automne	o.ˈtɔn
automobilisme	o.tɔ.mɔ.bi.ˈlism
automobiliste	o.tɔ.mɔ.bi.ˈlist
autonome	o.to.ˈnɔm
autonomie	o.to.no.ˈmi
autopsie	o.to.ˈpsi
autorisation	o.to.ʁi.za.ˈsjõ
autoriser	o.to.ʁi.ˈze
autoritaire	o.to.ʁi.ˈtɛʁ
autorité	o.to.ʁi.ˈte
autoroute	o.to.ˈʁut
autostrade	o.to.ˈstʁad
autour	o.ˈtuʁ
autour de	o.tuʁ.ˈdə
autre	otʁ
autrefois	o.tʁə.ˈfwa
autrement	o.ˈtʁəm
autrichien	o.tʁi.ˈʃi
autruche	o.ˈtʁyʃ
autrui	o.ˈtʁɥi
aux	o
auxiliaire	ok.si.ˈljɛʁ
aux bords de	o.bɔʁ.ˈdə
au bord de	o.bɔʁ.ˈdə
au commencement	o.kɔ.mã.ˈsəm
au lieu de	o.ljø.ˈdə
au milieu de	o.mi.ljø.ˈdə
au milie de	o.mi.li.ˈdə
au moins	o.ˈmwɛ̃
au moyen de	o.mwaj.ˈdə
au repos	o.ʁə.ˈpo
au revoir	o.ʁə.ˈvwaʁ
au sujet de	o.sy.ʒɛ.ˈdə
avalanche	a.va.ˈlãʃ
avaler	a.va.ˈle
avancement	a.vã.ˈsəm
avancer	a.vã.ˈse
avant	a.ˈvã
avantage	a.vã.ˈtaʒ
avantageux	a.vã.ta.ˈʒø
avare	a.ˈvaʁ
avarice	a.va.ˈʁis
avaricieux	a.va.ʁi.ˈsjø
avarie	a.va.ˈʁi
avec	a.ˈvɛk
avenir	a.və.ˈniʁ
avent	av
aventure	a.vã.ˈtyʁ
aventurer	a.vã.ty.ˈʁe
avenue	a.və.ˈny
aversion	a.vɛʁ.ˈsjõ
avertir	a.vɛʁ.ˈtiʁ
avertisseur	a.vɛʁ.ti.ˈsœʁ
aveu	a.ˈvø
aveugle	a.ˈvœgl
aveugler	a.vœ.ˈgle
aviateur	a.vja.ˈtœʁ
aviation	a.vja.ˈsjõ
avide	a.ˈvid
avidité	a.vi.di.ˈte
avion	a.ˈvjõ
avion à réaction	a.vjõa.ʁeak.ˈsjõ
aviron	a.vi.ˈʁõ
avis	a.ˈvi
avisé	a.vi.ˈze
avocat	a.vo.ˈka
avocat conseil	a.vo.ka.kõ.ˈsɛj
avoine	a.ˈvwan
avoir	a.ˈvwaʁ
avoir besoin de	a.vwaʁ.bəz.wɛ̃.ˈdə
avoir coutume	a.vwaʁ.ku.ˈtym
avoir en abomination	a.vwa.ʁa.bo.mi.na.ˈsjõ
avoir faim	a.vwaʁ.ˈfɛ̃
avoir honte	a.vwa.ˈʁõt
avoir le hoquet	a.vwaʁ.ləɔ.ˈkɛ
avoir lieu	a.vwaʁ.ˈljø
avoir l'air de	a.vwaʁ.lɛʁ.ˈdə
avoir l'habitude de	a.vwaʁ.la.bi.tyd.ˈdə
avoir peur	a.vwaʁ.ˈpœʁ
avoir pitié	a.vwaʁ.pi.ˈtje
avoir pour but	a.vwaʁ.puʁ.ˈbyt
avoir soif	a.vwaʁ.ˈswaf
avoir soin de	a.vwaʁ.swɛ̃.ˈdə
avoir une dette	a.vwa.ʁyn.ˈdɛt
avoir un accident	a.vwa.ʁœ̃ak.ˈsid
avortement	a.vɔʁ.ˈtəm
avortement provoqué	a.vɔʁ.təm.pʁo.vɔ.ˈke
avortement spontané	a.vɔʁ.təm.spõ.ta.ˈne
avorter	a.vɔʁ.ˈte
avorteur	a.vɔʁ.ˈtœʁ
avouer	a.ˈvue
avril	a.ˈvʁil
axe	aks
axiome	ak.ˈsjom
ayant le mal de l'air	ɛ.jã.lə.mal.də.ˈlɛʁ
azalée	a.za.ˈle
azimut	a.zi.ˈmy
azote	a.ˈzɔt
aztèque	az.ˈtɛk
azur	a.ˈzyʁ
aïe	aj
aïeul	a.ˈjœl
aïeule	a.ˈjœl
aérateur	ae.ʁa.ˈtœʁ
aérer	ae.ˈʁe
aérien	ae.ˈʁi
aérodrome	ae.ʁɔ.ˈdʁɔm
aérodynamique	ae.ʁɔ.di.na.ˈmik
aérogramme	ae.ʁo.ˈgʁam
aérolithe	ae.ʁɔ.ˈlit
aéronaute	ae.ʁo.ˈnot
aéronautique	ae.ʁo.no.ˈtik
aéronef	ae.ʁo.ˈnɛf
aéroplane	ae.ʁo.ˈplan
aéroport	ae.ʁɔ.ˈpɔʁ
aérosol	ae.ʁɔ.ˈsɔl
aérostat	ae.ʁo.ˈsta
babil	ba.ˈbil
babilage	ba.bi.ˈlaʒ
babillard	ba.bi.ˈjaʁ
babiller	ba.bi.ˈje
babiole	ba.ˈbjɔl
babouin	ba.ˈbwɛ̃
babylonien	ba.bi.lo.ˈni
bac	bak
baccalauréat	ba.ka.lɔ.ˈʁea
bactérie	bak.te.ˈʁi
badauder	ba.do.ˈde
badinage	ba.di.ˈnaʒ
badine	ba.ˈdin
badiner	ba.di.ˈne
bafouer	ba.ˈfue
bafouiller	ba.fu.ˈje
bagage	ba.ˈgaʒ
bagagiste	ba.ga.ˈʒist
bagarre	ba.ˈgaʁ
bagarreur	ba.ga.ˈʁœʁ
bagasse	ba.ˈgas
bagatelle	ba.ga.ˈtɛl
bagnole	ba.ˈnjɔl
bague	bag
baguette	ba.ˈgɛt
bai	bɛ
baie	bɛ
baie Chiyask	bɛ.ˈʃiask
baie Georgienne	bɛ.ʒɔʁʒ.ˈjɛn
baie James	bɛ.ˈʒam
baie chez Lepage	bɛ.ʃe.lə.ˈpaʒ
baie des Chaleurs	bɛ.de.ʃa.ˈlœʁ
baie de Baffin	bɛ.də.ba.ˈfɛ̃
baie de Fundy	bɛ.də.fy.ˈdi
baie d'Hudson	bɛ.dy.ˈsõ
baie d'Ungava	bɛ.dy.ga.ˈva
baigner	bɛ.ˈnje
baignoire	bɛnj.ˈwaʁ
bail	baj
bailler	ba.ˈje
bailli	ba.ˈji
bain	bɛ̃
baiser	bɛ.ˈze
baisser	bɛ.ˈse
bakélite	ba.ke.ˈlit
bal	bal
baladeuse	ba.la.ˈdøz
baladin	ba.la.ˈdɛ̃
balafre	ba.ˈlafʁ
balai	ba.ˈlɛ
balalaïka	ba.la.lai.ˈka
balance	ba.ˈlãs
balancer	ba.lã.ˈse
balayer	ba.lɛ.ˈje
balbutier	bal.by.ˈtje
balcon	bal.ˈkõ
baldaquin	bal.da.ˈkɛ̃
baleine	ba.ˈlɛn
balinais	ba.li.ˈnɛ
balise	ba.ˈliz
balistique	ba.li.ˈstik
ballade	ba.ˈlad
ballast	ba.ˈlast
balle	bal
ballerine	ba.lə.ˈʁin
ballet	ba.ˈlɛ
balle de fusil	bal.də.fy.ˈzi
ballon	ba.ˈlõ
ballon de football	ba.lõ.də.fut.ˈbol
balsamine	bal.sa.ˈmin
balte	balt
balustrade	ba.ly.ˈstʁad
bambou	bã.ˈbu
bamboucher	bã.bu.ˈʃe
banal	ba.ˈnal
banane	ba.ˈnan
bananier	ba.na.ˈnje
banc	bã
bandage	bã.ˈdaʒ
bande	bãd
bandeau	bã.ˈdo
bander	bã.ˈde
banderole	bã.də.ˈʁɔl
bande vidéo	bãd.vi.ˈdeo
bandit	bã.ˈdi
banian	ba.ˈniã
banjo	bã.ˈʒo
banni	ba.ˈni
bannir	ba.ˈniʁ
bannissement	ba.ni.ˈsəm
banque	bãk
banqueroute	bã.kə.ˈʁut
banquet	bã.ˈkɛ
banqueter	bã.kə.ˈte
banquette	bã.ˈkɛt
banquier	bã.ˈkje
bantou	bã.ˈtu
baobab	bao.ˈbab
baptiser	ba.ti.ˈze
baptiste	ba.ˈtist
baptistère	ba.ti.ˈstɛʁ
baptême	ba.ˈtɛm
baquet	ba.ˈkɛ
bar	baʁ
baraque	ba.ˈʁak
baratter	ba.ʁa.ˈte
barbare	baʁ.ˈbaʁ
barbaresque	baʁ.ba.ˈʁɛsk
barbarie	baʁ.ba.ˈʁi
barbarisme	baʁ.ba.ˈʁism
barbe	baʁb
barbeau	baʁ.ˈbo
barbier	baʁ.ˈbje
barboter	baʁ.bɔ.ˈte
barbu	baʁ.ˈby
barbue	baʁ.ˈby
bardane	baʁ.ˈdan
barde	baʁd
bardot	baʁ.ˈdo
barge	baʁʒ
barguigner	baʁ.gi.ˈnje
barman	baʁ.ˈman
baromètre	ba.ʁo.ˈmɛtʁ
baron	ba.ˈʁõ
baronne	ba.ˈʁɔn
baronnie	ba.ʁɔ.ˈni
baroque	ba.ˈʁɔk
baroud	ba.ˈʁu
barouf	ba.ˈʁuf
baroufle	ba.ˈʁufl
barque	baʁk
barquette	baʁ.ˈkɛt
barre	baʁ
barreau	ba.ˈʁo
barrer	ba.ˈʁe
barricade	ba.ʁi.ˈkad
barricader	ba.ʁi.ka.ˈde
barrière	ba.ˈʁjɛʁ
baryton	ba.ʁi.ˈtõ
baryum	ba.ˈʁiym
bas	ba
basalte	ba.ˈzalt
bascule	ba.ˈskyl
baser	ba.ˈze
basilic	ba.zi.ˈlik
basilique	ba.zi.ˈlik
basique	ba.ˈzik
basque	bask
bassin	ba.ˈsɛ̃
bassine	ba.ˈsin
bastille	ba.ˈstij
bastion	bast.ˈjõ
bataille	ba.ˈtaj
batailler	ba.ta.ˈje
batailleur	ba.ta.ˈjœʁ
batave	ba.ˈtav
bateau	ba.ˈto
bath	bat
batifoler	ba.ti.fɔ.ˈle
batiker	ba.ti.ˈke
batiste	ba.ˈtist
batterie	ba.tə.ˈʁi
battre	batʁ
baudet	bo.ˈdɛ
baume	bom
bauxite	bok.ˈsit
bavard	ba.ˈvaʁ
bavardage	ba.vaʁ.ˈdaʒ
bavarder	ba.vaʁ.ˈde
bavarois	ba.va.ˈʁwa
bave	bav
baver	ba.ˈve
bayer aux corneilles	bɛ.jeo.kɔʁ.ˈnɛj
bazar	ba.ˈzaʁ
bazooka	ba.zu.ˈka
baïonnette	ba.jɔ.ˈnɛt
beau	bo
beaucoup	bo.ˈku
beaucoup de	bo.ku.ˈdə
beauté	bo.ˈte
bec	bɛk
beige	bɛʒ
belette	bə.ˈlɛt
belge	bɛlʒ
belladone	bɛ.la.ˈdɔn
bengali	bã.ga.ˈli
benzène	bɛ̃.ˈzɛn
berce	bɛʁs
bercer	bɛʁ.ˈse
berlinois	bɛʁ.li.ˈnwa
bernois	bɛʁ.ˈnwa
besoin d'activité	bəz.wɛ̃.dak.ti.vi.ˈte
betterave	bɛ.tə.ˈʁav
beurre	bœʁ
biberon	bi.bə.ˈʁõ
bibliothèque	bibl.jo.ˈtɛk
biche	biʃ
bicyclette	bi.si.ˈklɛt
bien	bi
bientôt	bjɛ̃.ˈto
bienvenue	bjɛ̃.və.ˈny
bien entendu	biã.tã.ˈdy
bien sûr	bi.ˈsyʁ
biffer	bi.ˈfe
bifteck	bif.ˈtɛk
bigarré	bi.ga.ˈʁe
bijou	bi.ˈʒu
bijoutier	bi.ʒu.ˈtje
bikini	bi.ki.ˈni
bile	bil
billet	bi.ˈjɛ
birman	biʁ.ˈman
biscuit	bisk.ˈɥi
bison	bi.ˈzõ
bitte	bit
bizarre	bi.ˈzaʁ
bière	bjɛʁ
blague	blag
blanc	blã
blasphémer	bla.sfe.ˈme
blatte	blat
blesser	blɛ.ˈse
blessure	blɛ.ˈsyʁ
blessé	blɛ.ˈse
bleu	blø
bleuet	bløɛ
bloc	blɔk
blond	blõ
blouse	bluz
blouse longue	bluz.ˈlõg
boa	boa
bobine	bo.ˈbin
bohémien	boe.ˈmi
boire	bwaʁ
bois	bwa
boisson	bwa.ˈsõ
boiteux	bwa.ˈtø
boite à echo	bwa.taə.ˈko
bol	bɔl
bolivien	bɔ.li.ˈvi
bombarder	bõ.baʁ.ˈde
bombe	bõb
bombe atomique	bõ.ba.to.ˈmik
bombe à incendie	bõ.baɛ̃.sã.ˈdi
bon	bõ
bonbon	bõ.ˈbõ
bonjour	bõ.ˈʒuʁ
bonnet	bo.ˈnɛ
bonne nuit	bɔn.ˈnɥi
bonsoir	bõ.ˈswaʁ
bord	bɔʁ
bordel	bɔʁ.ˈdɛl
bosniaque	bosn.ˈjak
bosnien	bo.ˈsni
bosse	bos
bossu	bo.ˈsy
botte	bɔt
bouc	buk
bouche	buʃ
boucher	bu.ˈʃe
boucherie	bu.ʃə.ˈʁi
bouchon	bu.ˈʃõ
bouchon de liège	bu.ʃõ.də.ˈljɛʒ
boucler	bu.ˈkle
boucle de vêtement	bukl.də.vɛ.ˈtəm
bouddhisme	bu.ˈdism
bouddhiste	bu.ˈdist
bouder	bu.ˈde
boue	bu
bougie	bu.ˈʒi
bougie électrique	bu.ʒie.lɛk.ˈtʁik
bougnoul	bu.ˈnjul
bouillie	bu.ˈji
bouillir	bu.ˈjiʁ
bouillon	bu.ˈjõ
boulanger	bu.lã.ˈʒe
boulangerie	bu.lã.ʒə.ˈʁi
boule	bul
bouleau	bu.ˈlo
boulevard	bu.lə.ˈvaʁ
boulier	bu.ˈlje
bouquet	bu.ˈkɛ
bouquin	bu.ˈkɛ̃
bourdon	buʁ.ˈdõ
bourdonner	buʁ.dɔ.ˈne
bourgeois	buʁ.ˈʒwa
bourse du travail	buʁs.dy.tʁa.ˈvaj
boussole	bu.ˈsɔl
bout	bu
bouteille	bu.ˈtɛj
boutique	bu.ˈtik
bouton	bu.ˈtõ
boxer	bɔk.ˈse
boîte	bwat
boîte aux lettres	bwa.to.ˈlɛtʁ
brabançon	bʁa.bã.ˈsõ
branche	bʁãʃ
branchie	bʁã.ˈʃi
brandir	bʁã.ˈdiʁ
bras	bʁa
braser	bʁa.ˈze
bras supérieur	bʁa.sy.pe.ˈʁjœʁ
brave	bʁav
bretelles	bʁə.ˈtɛl
bride	bʁid
briller	bʁi.ˈje
brique	bʁik
briser	bʁi.ˈze
britannique	bʁi.ta.ˈnik
brochet	bʁo.ˈʃɛ
brochure	bʁo.ˈʃyʁ
broder	bʁɔ.ˈde
brosse	bʁos
brosse à dents	bʁo.ˈsad
brouette	bʁuɛt
brouillard	bʁu.ˈjaʁ
brouiller	bʁu.ˈje
broyer	bʁwa.ˈje
bruine	bʁɥin
brun	bʁœ̃
brusquement	bʁy.ˈskəm
brut	bʁy
bruxellois	bʁyk.sɛ.ˈlwa
bruyère	bʁy.ˈjɛʁ
brésilien	bʁe.zi.ˈli
brèche	bʁɛʃ
brûler	bʁy.ˈle
brûlé	bʁy.ˈle
bubale	by.ˈbal
buffet	by.ˈfɛ
buffle	byfl
bulbe	bylb
bulgare	byl.ˈgaʁ
bulldozer	bul.do.ˈze
bulle	byl
bulletin	by.lə.ˈtɛ̃
bureau	by.ˈʁo
bureau de poste	by.ʁo.də.ˈpɔst
buriner	by.ʁi.ˈne
but	byt
butter	by.ˈte
byte	bit
byzantin	bi.zã.ˈtɛ̃
bébé	be.ˈbe
bébête	be.ˈbɛt
bécane	be.ˈkan
béer	bee
bégayer	be.ge.ˈje
bégonia	be.go.ˈnja
bégueule	be.ˈgøl
béguinage	be.gi.ˈnaʒ
béguine	be.ˈgin
bélier	be.ˈlje
bénir	be.ˈniʁ
bénéfice	be.ne.ˈfis
béryllium	be.ʁi.ˈljɔm
béton	be.ˈtõ
bâbord	ba.ˈbɔʁ
bâillement	ba.ˈjəm
bâiller	ba.ˈje
bâtard	ba.ˈtaʁ
bâtiment	ba.ˈtim
bâtir	ba.ˈtiʁ
bâtisseur	ba.ti.ˈsœʁ
bâton	ba.ˈtõ
bâtonnet	ba.tɔ.ˈnɛ
bêche	bɛʃ
bêler	bɛ.ˈle
bête	bɛt
bûche	byʃ
cabane	ka.ˈban
cabine	ka.ˈbin
cabinet	ka.bi.ˈnɛ
cabinet noir	ka.bi.nɛ.ˈnwaʁ
cabine de bain	ka.bin.də.ˈbɛ̃
cabine de bateau	ka.bin.də.ba.ˈto
cabine téléphonique	ka.bin.te.le.fɔ.ˈnik
cacahouète	ka.ka.ˈwɛt
cacahuète	ka.ˈkayɛt
cacao	ka.ˈkao
cacher	ka.ˈʃe
cachet	ka.ˈʃɛ
cachot	ka.ˈʃo
cactus	kak.ˈtys
cadavre	ka.ˈdavʁ
cadeau	ka.ˈdo
cadre	kadʁ
caduc	ka.ˈdyk
cafard	ka.ˈfaʁ
cafetière	ka.fə.ˈtjɛʁ
café	ka.ˈfe
cage	kaʒ
cahier	ka.ˈje
caille	kaj
caillette	ka.ˈjɛt
caisse	kɛs
calame	ka.ˈlam
calcium	kal.ˈsjɔm
calculer	kal.ky.ˈle
cale	kal
calendrier	ka.lãdʁ.ˈje
calendula	ka.lã.dy.ˈla
caleçon	ka.lə.ˈsõ
californien	ka.li.foʁ.ˈni
calme	kalm
calomnier	ka.lɔm.ˈnje
camarade	ka.ma.ˈʁad
cambodgien	kã.bɔ.ˈʒi
camerounais	ka.mə.ʁu.ˈnɛ
camion	ka.ˈmjõ
camp	kã
campagne	kã.ˈpanj
caméra	ka.me.ˈʁa
canadien	ka.na.ˈdi
canaille	ka.ˈnaj
canal	ka.ˈnal
canapé	ka.na.ˈpe
canard	ka.ˈnaʁ
canard mâle	ka.naʁ.ˈmal
canari	ka.na.ˈʁi
cancaner	kã.ka.ˈne
cancer	kã.ˈse
candidat	kã.di.ˈda
canne	kan
cannelure	ka.nə.ˈlyʁ
canon	ka.ˈnõ
caoutchouc	kau.ˈtʃu
cap	kap
capable	ka.ˈpabl
capacité	ka.pa.si.ˈte
capitaine	ka.pi.ˈtɛn
capital	ka.pi.ˈtal
capote	ka.ˈpɔt
caprice	ka.ˈpʁis
captivant	kap.ti.ˈvã
capturer	kap.ty.ˈʁe
capucine	ka.py.ˈsin
car	kaʁ
caractère	ka.ʁak.ˈtɛʁ
carbone	kaʁ.ˈbɔn
carotte	ka.ˈʁɔt
carpe	kaʁp
carreau	ka.ˈʁo
carte	kaʁt
carte postale	kaʁt.po.ˈstal
carthaginois	kaʁ.ta.ʒi.ˈnwa
carton	kaʁ.ˈtõ
cas	ka
cascade	ka.ˈskad
caserne	ka.ˈzɛʁn
casquette	ka.ˈskɛt
casserole	ka.sə.ˈʁɔl
cassette	ka.ˈsɛt
castillan	ka.sti.ˈjã
castor	ka.ˈstɔʁ
catalan	ka.ta.ˈlã
catastrophe	ka.ta.ˈstʁɔf
cathédrale	ka.te.ˈdʁal
catégorie	ka.te.gɔ.ˈʁi
cause	koz
causer	ko.ˈze
cautionner	ko.sjɔ.ˈne
cave	kav
ce	sə
ceci	sə.ˈsi
ceinture	sɛ̃.ˈtyʁ
cela	sə.ˈla
cellule	sɛ.ˈlyl
celte	sɛlt
celtique	sɛl.ˈtik
celui	sə.ˈlɥi
cendre	sãdʁ
cendrier	sãdʁ.ˈje
censurer	sã.sy.ˈʁe
cent	s
central	sã.ˈtʁal
centrale	sã.ˈtʁal
centre	sãtʁ
cependant	sə.pã.ˈdã
cercle	sɛʁkl
cercueil	sɛʁ.ˈkœj
cerf	sɛʁ
cerise	sə.ˈʁiz
cerisier	sə.ʁiz.ˈje
certain	sɛʁ.ˈtɛ̃
certainement	sɛʁ.tɛ.ˈnəm
certes	sɛʁt
certifier	sɛʁ.ti.ˈfje
cerveau	sɛʁ.ˈvo
cervelle	sɛʁ.ˈvɛl
cesser	sɛ.ˈse
ceylanais	sɛ.la.ˈnɛ
ce matin	sə.ma.ˈtɛ̃
ce soir	sə.ˈswaʁ
chacal	ʃa.ˈkal
chacun	ʃa.ˈky
chagrin	ʃa.ˈgʁɛ̃
chagriner	ʃa.gʁi.ˈne
chair	ʃɛʁ
chaise	ʃɛz
chambre	ʃãbʁ
chambre de travail	ʃãbʁ.də.tʁa.ˈvaj
chambre à coucher	ʃã.bʁa.ku.ˈʃe
chameau	ʃa.ˈmo
chamois	ʃa.ˈmwa
champ	ʃã
champagne	ʃã.ˈpanj
champignon	ʃã.pi.ˈnjõ
champion	ʃã.ˈpjõ
chance	ʃãs
chandail	ʃã.ˈdaj
chandelle	ʃã.ˈdɛl
changement d'adresse	ʃã.ʒəm.da.ˈdʁɛs
changer	ʃã.ˈʒe
chanson	ʃã.ˈsõ
chanter	ʃã.ˈte
chanteur	ʃã.ˈtœʁ
chanteuse	ʃã.ˈtøz
chaos	kao
chapeau	ʃa.ˈpo
